longitude,latitude,timestamp,sog,tws,twd,heading,allure,hypernet,net,inline,ctd_keel,ctd_profile,ctd_intercomp,station_hyp
-3.5265233333333335,36.72375833333333,2026-08-06T04:02:59Z,0.1,0.8,130.9,28.2,beam reach,OFF,OFF,OFF,OFF,OFF,OFF,OFF
-3.5261316666666667,36.72281666666667,2026-08-06T04:07:18Z,4.4,1.8,106.3,177.7,beam reach,OFF,OFF,OFF,OFF,OFF,OFF,OFF
-3.5259733333333334,36.72117166666667,2026-08-06T04:08:43Z,4.3,1.8,111.2,153.8,close-hauled,OFF,OFF,OFF,OFF,OFF,OFF,OFF
-3.524726666666667,36.719885,2026-08-06T04:10:08Z,4.2,0.8,165.7,130.0,close-hauled,OFF,OFF,OFF,OFF,OFF,OFF,OFF
-3.5230349999999997,36.71890166666667,2026-08-06T04:11:35Z,4.1,1.6,185.6,121.8,close reach,OFF,OFF,OFF,OFF,OFF,OFF,OFF
-3.521335,36.717951666666664,2026-08-06T04:13:00Z,4.5,2.1,182.9,127.4,close reach,OFF,OFF,OFF,OFF,OFF,OFF,OFF
-3.5197383333333336,36.716928333333335,2026-08-06T04:14:23Z,4.5,3.0,177.5,124.8,close reach,OFF,OFF,OFF,OFF,OFF,OFF,OFF
-3.518113333333333,36.71587666666667,2026-08-06T04:15:48Z,4.3,2.3,211.8,128.1,beam reach,OFF,OFF,OFF,OFF,OFF,OFF,OFF
-3.516583333333333,36.714776666666666,2026-08-06T04:17:10Z,4.4,1.5,215.9,130.8,beam reach,OFF,OFF,OFF,OFF,OFF,OFF,OFF
-3.5150566666666663,36.71366,2026-08-06T04:18:31Z,4.4,1.7,222.6,121.7,beam reach,OFF,OFF,OFF,OFF,OFF,OFF,OFF
-3.513536666666667,36.71256666666667,2026-08-06T04:19:51Z,4.4,2.1,242.5,168.9,beam reach,OFF,OFF,OFF,OFF,OFF,OFF,OFF
-3.514491666666667,36.71116833333333,2026-08-06T04:21:16Z,5.0,7.5,141.9,234.9,beam reach,OFF,OFF,OFF,OFF,OFF,OFF,OFF
-3.5162800000000005,36.71036333333333,2026-08-06T04:22:25Z,5.0,1.4,235.0,241.3,close-hauled,OFF,OFF,OFF,OFF,OFF,OFF,OFF
-3.51814,36.70964,2026-08-06T04:23:36Z,4.9,2.5,175.5,242.8,close reach,OFF,OFF,OFF,OFF,OFF,OFF,OFF
-3.5200283333333338,36.708913333333335,2026-08-06T04:24:46Z,5.5,0.3,51.6,243.2,close reach,OFF,OFF,OFF,OFF,OFF,OFF,OFF
-3.521913333333333,36.70822166666667,2026-08-06T04:25:55Z,5.9,2.5,309.0,241.5,close-hauled,OFF,OFF,OFF,OFF,OFF,OFF,OFF
-3.5237966666666667,36.70755166666667,2026-08-06T04:27:03Z,5.3,2.8,261.4,243.5,close-hauled,OFF,OFF,OFF,OFF,OFF,OFF,OFF
-3.52569,36.70685833333334,2026-08-06T04:28:12Z,5.6,2.9,182.5,243.6,close-hauled,OFF,OFF,OFF,OFF,OFF,OFF,OFF
-3.527563333333333,36.706183333333335,2026-08-06T04:29:18Z,6.0,2.1,212.4,243.5,close-hauled,OFF,OFF,OFF,OFF,OFF,OFF,OFF
-3.52947,36.70553666666667,2026-08-06T04:30:26Z,5.7,4.7,149.1,242.1,beam reach,OFF,OFF,OFF,OFF,OFF,OFF,OFF
-3.5313649999999996,36.70488666666667,2026-08-06T04:31:33Z,5.9,5.2,151.6,242.0,beam reach,OFF,OFF,OFF,OFF,OFF,OFF,OFF
-3.533278333333333,36.70420166666667,2026-08-06T04:32:40Z,5.4,6.2,152.9,243.9,beam reach,OFF,OFF,OFF,OFF,OFF,OFF,OFF
-3.535171666666667,36.70352666666667,2026-08-06T04:33:47Z,5.1,6.9,151.2,243.3,beam reach,OFF,OFF,OFF,OFF,OFF,OFF,OFF
-3.5370816666666665,36.70290166666667,2026-08-06T04:34:53Z,4.8,6.2,161.8,242.0,close reach,OFF,OFF,OFF,OFF,OFF,OFF,OFF
-3.538005,36.70176,2026-08-06T04:36:06Z,4.9,7.7,157.5,172.0,close-hauled,OFF,OFF,OFF,OFF,OFF,OFF,OFF
-3.538758333333333,36.700448333333334,2026-08-06T04:37:20Z,5.6,9.8,133.3,239.4,beam reach,OFF,OFF,OFF,OFF,OFF,OFF,OFF
-3.540743333333333,36.69996833333333,2026-08-06T04:38:24Z,6.0,10.4,137.1,250.3,beam reach,OFF,OFF,OFF,OFF,OFF,OFF,OFF
-3.542765,36.699598333333334,2026-08-06T04:39:47Z,4.5,9.7,130.4,252.4,beam reach,OFF,OFF,OFF,OFF,OFF,OFF,OFF
-3.5447966666666666,36.69923666666667,2026-08-06T04:41:01Z,5.1,11.5,122.4,251.7,beam reach,OFF,OFF,OFF,OFF,OFF,OFF,OFF
