longitude,latitude,timestamp,sog,tws,twd,heading,allure,hypernet,net,inline,ctd_keel,ctd_profile,ctd_intercomp
14.940403333333332,40.229731666666666,2026-06-08T07:35:13Z,0.2,4.0,210.2,199.0,close-hauled,OFF,OFF,OFF,OFF,OFF,OFF
14.94053,40.229551666666666,2026-06-08T07:46:17Z,3.0,2.5,200.6,155.4,close-hauled,OFF,OFF,OFF,OFF,OFF,OFF
14.940491666666667,40.22792166666667,2026-06-08T07:48:02Z,3.6,2.3,193.8,189.4,close-hauled,OFF,OFF,OFF,OFF,OFF,OFF
14.939285,40.22654166666667,2026-06-08T07:49:48Z,3.2,2.0,203.5,200.6,close-hauled,OFF,OFF,OFF,OFF,OFF,OFF
14.937948333333335,40.225265,2026-06-08T07:51:34Z,3.4,2.8,183.3,220.3,close-hauled,OFF,OFF,OFF,OFF,OFF,OFF
14.936138333333334,40.22434833333333,2026-06-08T07:53:25Z,2.8,1.7,219.2,237.7,close-hauled,OFF,OFF,OFF,OFF,OFF,OFF
14.934019999999999,40.223994999999995,2026-06-08T07:55:10Z,4.0,2.2,196.3,259.5,close-hauled,OFF,OFF,OFF,OFF,OFF,OFF
14.931835000000001,40.224055,2026-06-08T07:56:32Z,5.2,1.9,220.7,262.5,close-hauled,OFF,OFF,OFF,OFF,OFF,OFF
14.929685,40.22401333333333,2026-06-08T07:57:40Z,5.5,1.8,212.7,261.5,close-hauled,OFF,OFF,OFF,OFF,OFF,OFF
14.92751,40.22419333333333,2026-06-08T07:58:49Z,5.0,3.7,191.5,278.5,close-hauled,OFF,OFF,OFF,OFF,OFF,OFF
14.925398333333332,40.224583333333335,2026-06-08T07:59:58Z,5.5,2.2,215.5,277.8,close-hauled,OFF,OFF,OFF,OFF,OFF,OFF
14.923253333333331,40.224885,2026-06-08T08:01:08Z,5.3,2.7,197.8,279.1,close-hauled,OFF,OFF,OFF,OFF,OFF,OFF
14.921206666666668,40.22543333333333,2026-06-08T08:02:16Z,5.6,1.6,184.2,284.2,close-hauled,OFF,OFF,OFF,OFF,OFF,OFF
14.919293333333334,40.226191666666665,2026-06-08T08:03:23Z,5.4,3.1,207.8,283.6,close-hauled,OFF,OFF,OFF,OFF,OFF,OFF
14.917203333333335,40.22670333333333,2026-06-08T08:04:33Z,5.5,4.8,190.1,284.2,close reach,OFF,OFF,OFF,OFF,OFF,OFF
14.915151666666668,40.22726333333333,2026-06-08T08:05:41Z,5.2,4.2,176.0,280.3,close reach,OFF,OFF,OFF,OFF,OFF,OFF
14.913088333333333,40.22779166666667,2026-06-08T08:06:50Z,5.4,3.9,183.6,284.9,close-hauled,OFF,OFF,OFF,OFF,OFF,OFF
14.911028333333336,40.22829166666667,2026-06-08T08:07:58Z,5.6,4.2,205.6,281.2,close-hauled,OFF,OFF,OFF,OFF,OFF,OFF
14.909211666666666,40.229191666666665,2026-06-08T08:09:07Z,4.8,7.2,198.5,301.9,close reach,OFF,OFF,OFF,OFF,OFF,OFF
14.907385,40.230105,2026-06-08T08:10:17Z,5.4,3.0,195.9,298.2,close-hauled,OFF,OFF,OFF,OFF,OFF,OFF
14.90607,40.229625000000006,2026-06-08T08:11:27Z,5.3,4.3,234.5,190.3,close-hauled,OFF,OFF,OFF,OFF,OFF,OFF
14.904503333333333,40.229791666666664,2026-06-08T08:12:36Z,5.1,4.8,203.6,306.2,close-hauled,OFF,OFF,OFF,OFF,OFF,OFF
14.902716666666667,40.230734999999996,2026-06-08T08:13:42Z,5.4,4.9,193.6,296.4,close-hauled,OFF,OFF,OFF,OFF,OFF,OFF
14.900903333333334,40.231671666666664,2026-06-08T08:14:48Z,5.6,4.0,208.3,299.3,close-hauled,OFF,OFF,OFF,OFF,OFF,OFF
14.899103333333334,40.23258666666666,2026-06-08T08:15:52Z,5.9,6.8,183.7,295.2,close reach,OFF,OFF,OFF,OFF,OFF,OFF
14.89733,40.233531666666664,2026-06-08T08:16:52Z,6.1,4.4,206.6,298.7,close-hauled,OFF,OFF,OFF,OFF,OFF,OFF
14.895459999999998,40.234415,2026-06-08T08:17:55Z,6.1,4.1,213.4,298.2,close-hauled,OFF,OFF,OFF,OFF,OFF,OFF
14.893683333333335,40.23536,2026-06-08T08:18:58Z,5.8,6.2,192.1,294.2,close reach,OFF,OFF,OFF,OFF,OFF,OFF
14.891845,40.23625666666667,2026-06-08T08:20:00Z,5.6,7.0,179.0,298.9,close reach,OFF,OFF,OFF,OFF,OFF,OFF
14.890058333333332,40.237205,2026-06-08T08:21:10Z,3.5,7.5,185.5,295.1,beam reach,OFF,OFF,OFF,OFF,OFF,OFF
14.888321666666664,40.238205,2026-06-08T08:23:31Z,1.8,5.8,207.8,296.0,close reach,OFF,OFF,OFF,OFF,OFF,OFF
14.886455000000002,40.239045000000004,2026-06-08T08:25:41Z,3.2,4.8,200.9,288.3,close reach,OFF,OFF,OFF,OFF,OFF,OFF
14.884568333333334,40.239850000000004,2026-06-08T08:27:40Z,3.0,5.2,205.1,284.9,close reach,OFF,OFF,OFF,OFF,OFF,OFF
