longitude,latitude,timestamp,sog,tws,twd,heading,allure,hypernet,net,inline,ctd_keel,ctd_profile,ctd_intercomp
12.950268333333334,40.87551166666666,2026-06-17T11:08:55Z,3.1,6.5,316.3,253.6,close-hauled,OFF,OFF,OFF,OFF,OFF,OFF
12.948495,40.874608333333335,2026-06-17T11:11:43Z,3.6,8.6,296.0,227.5,close-hauled,OFF,OFF,OFF,OFF,OFF,OFF
12.946705000000001,40.87374833333333,2026-06-17T11:13:38Z,4.6,7.4,304.4,240.9,close-hauled,OFF,OFF,OFF,OFF,OFF,OFF
12.944905000000002,40.87279,2026-06-17T11:14:53Z,4.3,7.7,299.6,237.2,close-hauled,OFF,OFF,OFF,OFF,OFF,OFF
12.943065,40.871869999999994,2026-06-17T11:16:06Z,4.8,8.7,297.8,234.7,close-hauled,OFF,OFF,OFF,OFF,OFF,OFF
12.941225000000001,40.87102166666667,2026-06-17T11:17:21Z,3.6,8.1,310.7,244.8,close-hauled,OFF,OFF,OFF,OFF,OFF,OFF
12.939205,40.87034333333334,2026-06-17T11:18:48Z,4.0,8.2,316.8,235.4,close-hauled,OFF,OFF,OFF,OFF,OFF,OFF
12.937339999999999,40.869501666666665,2026-06-17T11:20:12Z,4.3,7.0,305.3,242.4,close-hauled,OFF,OFF,OFF,OFF,OFF,OFF
12.935438333333332,40.86867666666667,2026-06-17T11:21:37Z,4.3,8.1,295.6,238.1,close-hauled,OFF,OFF,OFF,OFF,OFF,OFF
12.933551666666665,40.86783666666667,2026-06-17T11:23:05Z,3.8,7.8,293.2,233.4,close-hauled,OFF,OFF,OFF,OFF,OFF,OFF
12.931708333333331,40.86693666666667,2026-06-17T11:24:24Z,4.3,8.1,316.8,241.6,close-hauled,OFF,OFF,OFF,OFF,OFF,OFF
12.929863333333333,40.86602833333333,2026-06-17T11:25:46Z,4.2,8.1,313.1,238.8,close-hauled,OFF,OFF,OFF,OFF,OFF,OFF
12.928093333333333,40.86506333333333,2026-06-17T11:27:05Z,5.4,8.5,304.2,220.8,close-hauled,OFF,OFF,OFF,OFF,OFF,OFF
