longitude,latitude,timestamp,sog,tws,twd,heading,allure,hypernet,net,inline,ctd_keel,ctd_profile,ctd_intercomp,station_hyp
-5.14869,36.25382333333334,2026-08-07T12:40:43Z,5.6,2.2,22.4,224.8,beam reach,OFF,OFF,OFF,OFF,OFF,OFF,OFF
-5.150008333333333,36.252541666666666,2026-08-07T12:41:46Z,5.7,2.6,9.5,221.2,broad reach,OFF,OFF,OFF,OFF,OFF,OFF,OFF
-5.151355,36.25125833333333,2026-08-07T12:42:49Z,5.6,0.9,28.3,225.8,beam reach,ON,OFF,OFF,OFF,OFF,OFF,ON
-5.152646666666667,36.24995833333333,2026-08-07T12:43:56Z,5.2,2.2,0.5,222.0,beam reach,ON,OFF,OFF,OFF,OFF,OFF,ON
-5.153923333333334,36.24866166666666,2026-08-07T12:45:08Z,4.9,0.7,43.8,224.1,beam reach,ON,OFF,OFF,OFF,OFF,OFF,ON
-5.155236666666667,36.247393333333335,2026-08-07T12:46:28Z,4.0,0.5,83.6,225.4,beam reach,ON,OFF,OFF,OFF,OFF,OFF,ON
-5.1565216666666664,36.246093333333334,2026-08-07T12:47:53Z,4.2,0.7,115.9,221.5,beam reach,ON,OFF,OFF,OFF,OFF,OFF,ON
-5.157775,36.24475833333334,2026-08-07T12:49:16Z,4.4,0.3,358.0,226.1,beam reach,ON,OFF,OFF,OFF,OFF,OFF,ON
-5.159083333333333,36.24348666666666,2026-08-07T12:50:39Z,4.4,0.2,100.2,221.0,beam reach,ON,OFF,OFF,OFF,OFF,OFF,ON
-5.160340000000001,36.24214833333333,2026-08-07T12:52:02Z,4.4,0.6,354.8,227.4,beam reach,ON,OFF,OFF,OFF,OFF,OFF,ON
-5.161625,36.24086333333333,2026-08-07T12:53:23Z,4.5,2.3,100.0,220.5,beam reach,ON,OFF,OFF,OFF,OFF,OFF,ON
-5.162918333333334,36.23956666666666,2026-08-07T12:54:47Z,4.2,1.9,119.2,225.2,beam reach,ON,OFF,OFF,OFF,OFF,OFF,ON
-5.164176666666666,36.238256666666665,2026-08-07T12:56:11Z,4.3,2.9,116.0,220.7,beam reach,ON,OFF,OFF,OFF,OFF,OFF,ON
-5.165456666666667,36.23695333333333,2026-08-07T12:57:34Z,4.7,2.6,119.1,221.2,beam reach,ON,OFF,OFF,OFF,OFF,OFF,ON
-5.166711666666667,36.235636666666664,2026-08-07T12:58:55Z,4.5,0.7,231.0,225.6,close reach,ON,OFF,OFF,OFF,OFF,OFF,ON
-5.168013333333334,36.23434833333333,2026-08-07T13:00:17Z,4.5,2.0,121.8,219.3,beam reach,ON,OFF,OFF,OFF,OFF,OFF,ON
-5.169256666666667,36.233021666666666,2026-08-07T13:01:37Z,4.6,1.4,159.7,226.3,beam reach,ON,OFF,OFF,OFF,OFF,OFF,ON
-5.17055,36.231725,2026-08-07T13:02:57Z,4.6,1.8,129.5,219.9,beam reach,ON,OFF,OFF,OFF,OFF,OFF,ON
-5.171785,36.23039833333333,2026-08-07T13:04:15Z,4.6,1.7,161.0,226.1,beam reach,ON,OFF,OFF,OFF,OFF,OFF,ON
-5.173035,36.22906833333333,2026-08-07T13:05:33Z,4.7,2.5,151.8,225.1,beam reach,ON,OFF,OFF,OFF,OFF,OFF,ON
-5.174345,36.22779333333334,2026-08-07T13:06:47Z,5.1,2.9,113.7,224.5,beam reach,ON,OFF,OFF,OFF,OFF,OFF,ON
-5.175558333333333,36.226445,2026-08-07T13:08:03Z,5.0,1.1,148.2,224.0,beam reach,ON,OFF,OFF,OFF,OFF,OFF,ON
-5.176806666666667,36.22512666666667,2026-08-07T13:09:22Z,4.5,3.6,132.9,221.1,beam reach,ON,OFF,OFF,OFF,OFF,OFF,ON
-5.178005,36.223778333333335,2026-08-07T13:10:41Z,4.5,0.7,356.9,224.8,beam reach,ON,OFF,OFF,OFF,OFF,OFF,ON
-5.1792533333333335,36.22244833333333,2026-08-07T13:12:02Z,4.5,0.4,215.2,220.1,beam reach,ON,OFF,OFF,OFF,OFF,OFF,ON
-5.180433333333334,36.22110166666666,2026-08-07T13:13:21Z,4.9,0.3,13.0,226.7,beam reach,ON,OFF,OFF,OFF,OFF,OFF,ON
-5.181698333333333,36.219786666666664,2026-08-07T13:14:40Z,4.9,2.1,354.7,220.8,broad reach,ON,OFF,OFF,OFF,OFF,OFF,ON
-5.182893333333333,36.218426666666666,2026-08-07T13:15:59Z,4.4,2.1,80.5,223.8,beam reach,ON,OFF,OFF,OFF,OFF,OFF,ON
-5.1841349999999995,36.21710333333333,2026-08-07T13:17:17Z,4.7,1.4,28.9,224.8,beam reach,ON,OFF,OFF,OFF,OFF,OFF,ON
