longitude,latitude,timestamp,sog,tws,twd,heading,allure,hypernet,net,inline,ctd_keel,ctd_profile,ctd_intercomp
9.640668333333334,39.44074166666667,2026-05-18T13:55:54Z,0.1,,,,-,OFF,OFF,OFF,OFF,OFF,OFF
9.640675,39.44075,2026-05-18T14:06:08Z,0.1,,,,-,OFF,OFF,OFF,OFF,OFF,OFF
9.640663333333332,39.44074833333333,2026-05-18T14:17:05Z,0.1,,,,-,OFF,OFF,OFF,OFF,OFF,OFF
9.640898333333332,39.440525,2026-05-18T14:28:03Z,2.6,0.6,125.1,224.0,-,OFF,OFF,OFF,OFF,OFF,OFF
9.640966666666666,39.438885,2026-05-18T14:29:53Z,3.8,7.5,152.9,193.5,close-hauled,OFF,OFF,OFF,OFF,OFF,OFF
9.640585,39.437281666666664,2026-05-18T14:31:26Z,3.4,7.3,162.7,171.3,close-hauled,OFF,OFF,OFF,OFF,OFF,OFF
9.6412,39.43570166666667,2026-05-18T14:33:00Z,4.2,5.3,147.0,153.4,close-hauled,OFF,OFF,OFF,OFF,OFF,OFF
9.642658333333333,39.434531666666665,2026-05-18T14:34:28Z,4.4,7.6,151.9,125.3,close-hauled,OFF,OFF,OFF,OFF,OFF,OFF
9.644145,39.433348333333335,2026-05-18T14:35:57Z,3.7,8.9,162.4,127.9,close-hauled,OFF,OFF,OFF,OFF,OFF,OFF
9.645516666666667,39.43208833333333,2026-05-18T14:37:32Z,3.8,8.1,160.1,124.8,close-hauled,OFF,OFF,OFF,OFF,OFF,OFF
9.647096666666666,39.431034999999994,2026-05-18T14:39:01Z,2.7,6.8,151.2,141.9,close-hauled,OFF,OFF,OFF,OFF,OFF,OFF
9.647698333333333,39.429955,2026-05-18T14:40:36Z,1.9,6.1,128.8,178.7,close-hauled,OFF,OFF,OFF,OFF,OFF,OFF
9.646223333333333,39.42935833333333,2026-05-18T14:46:11Z,2.1,11.1,162.8,194.1,close-hauled,OFF,OFF,OFF,OFF,OFF,OFF
