longitude,latitude,timestamp,sog,tws,twd,heading,allure,hypernet,net,inline,ctd_keel,ctd_profile,ctd_intercomp,station_hyp
-1.2095566666666668,37.537931666666665,2026-07-29T05:32:33Z,6.4,3.9,21.1,216.4,broad reach,OFF,OFF,OFF,OFF,OFF,OFF,OFF
-1.2107416666666666,37.536561666666664,2026-07-29T05:33:30Z,6.0,10.1,4.9,213.7,run,OFF,OFF,OFF,OFF,OFF,OFF,OFF
-1.2119333333333333,37.53519666666667,2026-07-29T05:34:28Z,6.4,9.3,2.8,213.9,run,OFF,OFF,OFF,OFF,OFF,OFF,OFF
-1.2132383333333334,37.53387166666666,2026-07-29T05:35:27Z,5.2,9.6,20.6,219.7,run,OFF,OFF,OFF,OFF,OFF,OFF,OFF
-1.2141916666666668,37.532453333333336,2026-07-29T05:36:31Z,5.1,8.1,24.0,189.8,run,OFF,OFF,OFF,OFF,OFF,OFF,OFF
-1.2146383333333333,37.530845,2026-07-29T05:37:35Z,5.6,9.8,353.4,208.2,run,OFF,OFF,OFF,OFF,OFF,OFF,OFF
-1.2155850000000001,37.52937,2026-07-29T05:38:40Z,5.6,10.8,25.1,214.5,run,OFF,OFF,OFF,OFF,OFF,OFF,OFF
-1.2168983333333334,37.52811166666667,2026-07-29T05:39:43Z,5.6,8.3,358.7,203.3,run,OFF,OFF,OFF,OFF,OFF,OFF,OFF
-1.2180566666666666,37.526741666666666,2026-07-29T05:40:47Z,7.0,13.1,6.6,231.3,run,OFF,OFF,OFF,OFF,OFF,OFF,OFF
-1.2198116666666667,37.525875,2026-07-29T05:41:48Z,5.2,11.5,352.1,250.1,beam reach,OFF,OFF,OFF,OFF,OFF,OFF,OFF
-1.2213516666666666,37.52478333333333,2026-07-29T05:42:51Z,5.5,12.7,336.7,217.1,broad reach,OFF,OFF,OFF,OFF,OFF,OFF,OFF
-1.2227833333333333,37.523585000000004,2026-07-29T05:43:54Z,6.2,10.1,323.9,213.7,beam reach,OFF,OFF,OFF,OFF,OFF,OFF,OFF
-1.2239900000000001,37.522225000000006,2026-07-29T05:45:02Z,5.0,10.9,343.4,215.5,broad reach,OFF,OFF,OFF,OFF,OFF,OFF,OFF
-1.225185,37.520878333333336,2026-07-29T05:46:13Z,5.1,11.9,347.6,213.2,broad reach,OFF,OFF,OFF,OFF,OFF,OFF,OFF
-1.2263583333333334,37.51949833333333,2026-07-29T05:47:33Z,4.4,11.1,340.2,212.8,broad reach,OFF,OFF,OFF,OFF,OFF,OFF,OFF
-1.2275433333333334,37.518141666666665,2026-07-29T05:48:57Z,4.4,10.8,352.0,220.2,broad reach,OFF,OFF,OFF,OFF,OFF,OFF,OFF
-1.2287733333333333,37.51680833333333,2026-07-29T05:50:15Z,4.8,7.9,344.6,214.3,broad reach,OFF,OFF,OFF,OFF,OFF,OFF,OFF
-1.2299766666666665,37.515456666666665,2026-07-29T05:51:25Z,5.0,11.6,350.4,219.1,broad reach,OFF,OFF,OFF,OFF,OFF,OFF,OFF
