longitude,latitude,timestamp,sog,tws,twd,heading,allure,hypernet,net,inline,ctd_keel,ctd_profile,ctd_intercomp
15.065770000000002,38.62679166666667,2026-06-06T14:26:25Z,0.4,9.0,71.8,73.1,close-hauled,OFF,OFF,OFF,OFF,OFF,OFF
15.066675000000002,38.62668833333333,2026-06-06T14:36:21Z,3.1,7.8,60.6,117.1,close-hauled,OFF,OFF,OFF,OFF,OFF,OFF
15.068175,38.62551833333334,2026-06-06T14:38:09Z,3.5,9.0,45.8,114.8,close-hauled,OFF,OFF,OFF,OFF,OFF,OFF
15.070215,38.625170000000004,2026-06-06T14:40:05Z,2.9,8.1,49.3,78.9,close-hauled,OFF,OFF,OFF,OFF,OFF,OFF
15.07227,38.62555166666667,2026-06-06T14:42:11Z,2.9,8.2,27.2,67.0,close-hauled,OFF,OFF,OFF,OFF,OFF,OFF
15.0742,38.626245000000004,2026-06-06T14:44:18Z,3.8,7.2,23.8,50.3,close-hauled,OFF,OFF,OFF,OFF,OFF,OFF
15.075864999999999,38.62727333333333,2026-06-06T14:45:35Z,4.8,6.4,20.0,44.6,close-hauled,OFF,OFF,OFF,OFF,OFF,OFF
15.077371666666666,38.628455,2026-06-06T14:46:52Z,4.8,5.5,29.6,37.0,close-hauled,OFF,OFF,OFF,OFF,OFF,OFF
15.078746666666666,38.62969,2026-06-06T14:48:08Z,4.7,4.8,19.8,39.9,close-hauled,OFF,OFF,OFF,OFF,OFF,OFF
15.080061666666666,38.63099166666667,2026-06-06T14:49:25Z,5.0,4.5,2.2,26.8,close-hauled,OFF,OFF,OFF,OFF,OFF,OFF
15.081006666666667,38.63249,2026-06-06T14:50:43Z,4.4,4.6,13.5,16.5,close-hauled,OFF,OFF,OFF,OFF,OFF,OFF
15.081871666666666,38.63400166666667,2026-06-06T14:51:59Z,4.7,3.4,29.5,19.5,close-hauled,OFF,OFF,OFF,OFF,OFF,OFF
15.082866666666666,38.635461666666664,2026-06-06T14:53:13Z,4.7,3.2,10.7,16.3,close-hauled,OFF,OFF,OFF,OFF,OFF,OFF
15.083576666666666,38.63704666666667,2026-06-06T14:54:29Z,4.7,3.7,25.5,11.3,close-hauled,OFF,OFF,OFF,OFF,OFF,OFF
15.084094999999998,38.63865166666667,2026-06-06T14:55:44Z,5.0,3.0,20.2,8.4,close-hauled,OFF,OFF,OFF,OFF,OFF,OFF
15.084625,38.64026666666667,2026-06-06T14:56:59Z,4.9,2.6,26.4,5.6,close-hauled,OFF,OFF,OFF,OFF,OFF,OFF
15.085128333333333,38.641873333333336,2026-06-06T14:58:13Z,4.9,3.3,14.9,5.3,close-hauled,OFF,OFF,OFF,OFF,OFF,OFF
15.085368333333333,38.643525,2026-06-06T14:59:26Z,5.3,2.5,16.3,0.5,close-hauled,OFF,OFF,OFF,OFF,OFF,OFF
15.085329999999999,38.64519333333333,2026-06-06T15:00:37Z,5.3,3.3,40.8,354.4,close-hauled,OFF,OFF,OFF,OFF,OFF,OFF
