longitude;latitude;timestamp;sog;tws;twd;heading;allure
9.38818;41.18131;2026-05-10T07:49:29Z;2.07684;6.98753;147.00184;145.83013;travers
9.40992;41.18203;2026-05-10T08:15:51Z;3.76897;7.66992;152.75189;101.17275;pres
9.43105;41.17861;2026-05-10T08:31:47Z;3.92484;7.95503;177.80864;108.92713;pres bon plein
9.45005;41.17333;2026-05-10T08:47:03Z;4.04411;7.01190;170.32783;113.42536;pres
9.47102;41.16642;2026-05-10T09:01:56Z;4.80988;6.50854;143.93858;100.29172;pres
9.49274;41.16343;2026-05-10T09:14:26Z;4.86038;7.37075;150.07291;96.26146;pres
9.51460;41.16087;2026-05-10T09:26:50Z;4.44425;10.33585;128.45043;98.33337;pres
9.53443;41.15482;2026-05-10T09:40:20Z;4.42546;10.17183;135.99705;123.88315;pres
9.55137;41.14430;2026-05-10T09:53:55Z;4.43300;8.48850;135.32040;129.13980;pres
9.56869;41.13404;2026-05-10T10:07:26Z;4.51765;7.17860;131.28736;125.30476;pres
9.58631;41.12430;2026-05-10T10:20:47Z;4.26509;7.07207;121.80308;129.14379;pres
9.60153;41.11276;2026-05-10T10:34:53Z;4.47157;7.18395;124.29988;141.86642;pres
9.61457;41.09926;2026-05-10T10:48:31Z;4.69649;6.49649;120.92133;143.24668;pres
9.62621;41.08533;2026-05-10T11:01:21Z;4.52088;6.52550;162.73275;151.17712;pres
9.63311;41.07123;2026-05-10T11:14:43Z;5.01315;10.43860;236.54825;161.28476;travers
9.64350;41.05754;2026-05-10T11:26:40Z;4.91833;12.59521;264.70862;148.36033;travers
9.65523;41.04294;2026-05-10T11:38:52Z;5.12668;14.29401;286.60699;152.45863;largue
9.66084;41.02695;2026-05-10T11:50:35Z;4.43559;14.80517;326.23867;175.63202;largue
9.66490;41.01424;2026-05-10T12:04:08Z;4.10103;12.88759;327.63759;131.84909;largue
9.67079;41.00261;2026-05-10T12:18:48Z;3.32813;9.15079;312.22033;184.40427;largue
9.66344;40.99040;2026-05-10T12:36:47Z;3.57191;8.32699;248.20498;222.90627;pres
9.64530;40.98421;2026-05-10T12:53:33Z;4.35995;13.30231;269.45765;274.13932;pres
9.62554;40.98965;2026-05-10T13:07:19Z;4.60411;13.83380;254.04434;283.98882;pres
9.62118;40.99854;2026-05-10T13:20:19Z;0.60926;17.10219;267.31613;311.82866;pres bon plein
