longitude,latitude,timestamp,sog,tws,twd,heading,allure,hypernet,net,inline,ctd_keel,ctd_profile,ctd_intercomp,station_hyp
-17.14241666666667,28.06217333333333,2026-09-21T13:55:19Z,0.2,4.3,99.5,63.0,close-hauled,OFF,OFF,OFF,OFF,OFF,OFF,OFF
-17.141720000000003,28.06142333333333,2026-09-21T14:01:41Z,3.8,2.7,95.1,156.8,close-hauled,OFF,OFF,OFF,OFF,OFF,OFF,OFF
-17.141331666666666,28.059804999999997,2026-09-21T14:03:22Z,3.5,5.9,59.3,167.8,beam reach,OFF,OFF,OFF,OFF,OFF,OFF,OFF
-17.141121666666667,28.058183333333332,2026-09-21T14:05:03Z,3.9,2.7,96.0,182.4,beam reach,OFF,OFF,OFF,OFF,OFF,OFF,OFF
-17.141568333333332,28.05658,2026-09-21T14:06:41Z,3.5,5.0,66.4,193.7,broad reach,OFF,OFF,OFF,OFF,OFF,OFF,OFF
-17.142,28.054961666666667,2026-09-21T14:08:20Z,3.4,3.6,73.9,190.1,beam reach,OFF,OFF,OFF,OFF,OFF,OFF,OFF
-17.14213,28.053375,2026-09-21T14:09:57Z,3.8,3.0,61.2,158.5,beam reach,OFF,OFF,OFF,OFF,OFF,OFF,OFF
-17.141773333333333,28.05176666666667,2026-09-21T14:11:30Z,4.6,6.5,54.5,183.6,broad reach,OFF,OFF,OFF,OFF,OFF,OFF,OFF
-17.141493333333337,28.05012166666667,2026-09-21T14:12:44Z,5.2,8.2,70.6,181.5,beam reach,OFF,OFF,OFF,OFF,OFF,OFF,OFF
-17.14235,28.048758333333332,2026-09-21T14:14:06Z,3.6,4.0,55.9,239.5,broad reach,OFF,OFF,OFF,OFF,OFF,OFF,OFF
-17.143856666666668,28.047766666666668,2026-09-21T14:15:40Z,4.2,3.7,43.7,234.3,broad reach,OFF,OFF,OFF,OFF,OFF,OFF,OFF
-17.145396666666667,28.04683166666667,2026-09-21T14:17:12Z,4.0,5.8,74.0,234.6,broad reach,ON,OFF,OFF,OFF,OFF,OFF,ON
